,Accuracy,Precision,Recall,F1-Score,ROC AUC
Logistic Regression,0.985,0.991304347826087,0.9827586206896551,0.987012987012987,0.9976395730706076
Decision Tree,0.975,0.9663865546218487,0.9913793103448276,0.9787234042553191,0.9932779146141215
Random Forest,0.99,0.9913793103448276,0.9913793103448276,0.9913793103448276,0.9992816091954023
Gradient Boosting,0.985,0.9829059829059829,0.9913793103448276,0.9871244635193133,0.999692118226601
AdaBoost,0.985,0.991304347826087,0.9827586206896551,0.987012987012987,0.999692118226601
K-Nearest Neighbors,0.485,0.5565217391304348,0.5517241379310345,0.5541125541125541,0.46479885057471265
Dummy Classifier,0.58,0.58,1.0,0.7341772151898734,0.5
Naive Bayes,0.58,0.58,1.0,0.7341772151898734,0.5736863711001642
